#,Route,Bug,Severity,Status
1,C,TTS model typo "elevan v3",High,Fixed
2,C,Wrong Azure API version 2025 instead of 2024,High,Fixed
3,C,WebSocket not drained after greeting causing Turn 1 timeout,High,Fixed
4,C,ElevenLabs output_format in wrong location,Medium,Fixed
5,C,No retry on ElevenLabs 400 errors,Medium,Fixed
6,C,Azure 429 rate limits — 86/90 calls failed,Critical,Known
7,D,AudioEmitter not initialized before push,High,Fixed
8,D,VoicePipelineAgent removed in livekit-agents v1.5,High,Fixed
9,D,bulbul:v1 model deprecated,Medium,Fixed
10,D,Agent not dispatching in LiveKit playground,Medium,Fixed
11,D,Kavitha using masculine Hindi forms,Medium,Fixed
12,D,Repetitive responses,Medium,Partial
13,D,3 interruption scenarios failing,Medium,Known
14,B,Greeting race condition on WebSocket,Medium,Fixed
15,B,VAD not triggering on silence audio,Medium,Known
16,B,Emotion tags in responses,Low,Known
17,A,Negative latency race condition,High,Fixed
18,A,Run hung with no timeout,High,Fixed
